# 4LST from MARS
# Di Pierro et al. ICRC2019
# Energy            Sens            Err_Energy      Err_Sens
# log(E/TeV)        erg/(s cm**2)   log(E/TeV)      erg/(s cm**2)
-1.8                8.989586e-11        0.1         1.93552e-12
-1.6                2.061552e-11        0.1         2.355617e-13
-1.4                8.485324e-12        0.1         9.667325e-14
-1.2                3.327819e-12        0.1         2.958978e-14
-1                  2.08441e-12         0.1         2.097973e-14
-0.8                1.437429e-12        0.1         1.746898e-14
-0.6                9.682388e-13        0.1         1.491733e-14
-0.4                6.748374e-13        0.1         1.41178e-14
-0.2                5.097393e-13        0.1         1.370655e-14
-8.514949e-09       4.222523e-13        0.1         1.505024e-14
0.2                 4.240778e-13        0.1         2.00777e-14
0.4                 4.844595e-13        0.1         3.087371e-14
0.6                 4.427417e-13        0.1         2.717121e-14
0.8                 5.345662e-13        0.1         4.624828e-14
1                   8.159736e-13        0.1         5.955395e-14
1.2                 1.339849e-12        0.1         4.526017e-14
1.4                 1.8279e-12          0.1         1.976428e-13
1.6                 3.018256e-12        0.1         3.584013e-13
1.8                 4.826822e-12        0.1         6.309314e-13
2                   7.071068e-12        0.1         5.876806e-13
2.2                 4.347612e-10        0.1         3.188407e-11
