# MAGIC from MARS
# Energy            Sens            Err_Energy      Err_Sens
# log(E/TeV)        erg/(s cm**2)   log(E/TeV)      erg/(s cm**2)
-1.4                4.055309e-11    0.1             8.694466e-13
-1.2                1.118936e-11    0.1             1.61487e-13
-1                  5.579171e-12    0.1             9.979075e-14
-0.8                3.374827e-12    0.1             7.50494e-14
-0.6                2.244232e-12    0.1             5.97267e-14
-0.4                1.495437e-12    0.1             5.243493e-14
-0.2                1.208707e-12    0.1             5.504951e-14
-8.514949e-09       1.032901e-12    0.1             5.976593e-14
0.2                 9.159448e-13    0.1             6.727566e-14
0.4                 1.007229e-12    0.1             9.92983e-14
0.6                 1.072421e-12    0.1             9.972537e-14
0.8                 1.126146e-12    0.1             1.258352e-13
1                   1.790616e-12    0.1             2.639786e-13
1.2                 3.09347e-12     0.1             2.396913e-13
1.4                 4.97281e-12     0.1             7.441185e-14
1.6                 8.655727e-12    0.1             1.620783e-13
1.8                 1.637036e-11    0.1             1.689156e-12
2                   3.860176e-11    0.1             3.616362e-12
2.2                 4.764356e-09    0.1             1.059699e-09
