# MAGIC+LST1 from MARS
# Di Pierro et al. ICRC2019
# Energy            Sens            Err_Energy      Err_Sens
# log(E/TeV)        erg/(s cm**2)   log(E/TeV)      erg/(s cm**2)
-1.60161            1.97101e-10     0.1             8.29204e-12
-1.4                2.02359e-11     0.1             3.35275e-13
-1.2                6.48548e-12     0.1             7.82984e-14
-1                  3.55448e-12     0.1             5.48836e-14
-0.8                2.37687e-12     0.1             4.61501e-14
-0.6                1.52846e-12     0.1             3.76195e-14
-0.4                1.09861e-12     0.1             3.69116e-14
-0.2                8.50351e-13     0.1             3.78193e-14
-8.5e-09            6.73383e-13     0.1             3.7208e-14
0.2                 6.17779e-13     0.1             4.25603e-14
0.4                 7.41073e-13     0.1             5.91487e-14
0.6                 6.31573e-13     0.1             2.19595e-14
0.8                 8.462e-13       0.1             7.9784e-14
1                   1.30675e-12     0.1             1.33961e-13
1.2                 2.16449e-12     0.1             1.56118e-13
1.4                 3.3629e-12      0.1             1.67279e-13
1.6                 5.68701e-12     0.1             3.53253e-13
1.8                 9.38793e-12     0.1             8.48506e-13
2                   1.92571e-11     0.1             1.58413e-12
2.2                 1.69574e-09     0.1             2.26955e-10
