# 4LST from MARS
# Di Pierro et al. ICRC2019
# Energy            Sens            Err_Energy      Err_Sens
# log(E/TeV)        erg/(s cm**2)   log(E/TeV)      erg/(s cm**2)
-1.8                8.98959e-11     0.1             1.93552e-12
-1.6                2.06155e-11     0.1             2.35562e-13
-1.4                8.48532e-12     0.1             9.66732e-14
-1.2                3.32782e-12     0.1             2.95898e-14
-1                  2.08441e-12     0.1             2.09797e-14
-0.8                1.43743e-12     0.1             1.7469e-14
-0.6                9.68239e-13     0.1             1.49173e-14
-0.4                6.74837e-13     0.1             1.41178e-14
-0.2                5.09739e-13     0.1             1.37066e-14
-8.5e-09            4.22252e-13     0.1             1.50502e-14
0.2                 4.24078e-13     0.1             2.00777e-14
0.4                 4.84459e-13     0.1             3.08737e-14
0.6                 4.42742e-13     0.1             2.71712e-14
0.8                 5.34566e-13     0.1             4.62483e-14
1                   8.15974e-13     0.1             5.9554e-14
1.2                 1.33985e-12     0.1             4.52602e-14
1.4                 1.8279e-12      0.1             1.97643e-13
1.6                 3.01826e-12     0.1             3.58401e-13
1.8                 4.82682e-12     0.1             6.30931e-13
2                   7.07107e-12     0.1             5.87681e-13
2.2                 4.34761e-10     0.1             3.18841e-11
